State,Suicide rate,Female proportion,Male proportion,Female Suicide rate,Male Suicide rate,Age 5-14,Age 15-24,Age 25-34,Age 35-44,Age 45-54,Age 55-64,Age 65-74,Age 75-84,Age >85,Alcohol consumption,Marijuana usage,Advanced degree,Bachelors degree,College,Below college degree,GDP,Guns number per capita(average),Guns number registered(average),Precipitation,Temperature
Maryland,10.409477449188945,0.5151903191198803,0.48480968088011966,4.586239421582201,16.59762916329545,0,0.1587513883022823,0.1724660447401765,0.15836525708188534,0.1737131497851579,0.16630955703586245,0.10982407565208013,0.05240311111440434,0.008167416288151041,2.13,0.1565,0.17988331863808096,0.21006307767175436,0.25714192927868085,0.35291167441148386,"54,894",17.03,"103,109",43,56.59166666666667
Massachusetts,9.941953278942199,0.514511242935127,0.485488757064873,4.56161207937545,15.643930920484692,0,0.17408998297099934,0.17864144378925714,0.15233306847037606,0.17332969421901745,0.17084981389892212,0.11678750580534114,0.02419002193006591,0.009778468916020834,2.58,0.2028,0.18681595126436937,0.23405855176715953,0.23476119167047696,0.3443643052979941,"64,507",5.41,"37,152",45,47.215
Michigan,14.61508278551031,0.5077696329696995,0.4922303670303005,6.068921999328267,23.431038111225853,0.07148097601361622,0.15754514483399693,0.1465830329529799,0.13350031739754342,0.15274953129576738,0.16172837053552866,0.11310094165891268,0.05477302148601187,0.00853866382564295,2.34,0.16940000000000002,0.11000030952509922,0.17081053313912617,0.32889095371230714,0.39029820362346745,"42,631",6.59,"65,742",32,46.656
Minnesota,13.951138021943812,0.5020544754282443,0.49794552457175567,5.571906163385433,22.39951369287314,0,0.16859023621340544,0.17697190419828987,0.1623144444880734,0.16633991694293146,0.1750677339556069,0.11525173284867794,0.025606847627114526,0.009857183725900455,2.77,0.1378,0.11796636840105931,0.2296646979063728,0.3263284400469907,0.3260404936455772,"53,380",14.22,"79,307",26,44.048947368421054
Mississippi,14.845347005797393,0.5154726718273517,0.4845273281726484,5.6558806206126295,24.62171773828774,0,0.12230616744426384,0.22800299839305596,0.21091574955771386,0.21715873293563304,0.10550161099905113,0.07345889200803124,0.03304430739785131,0.009611541264399644,2.2,0.11480000000000001,0.08042785111811711,0.13291389350549895,0.3166324233769115,0.4700258319994724,"31,633",11.89,"35,494",56,63.67739130434783
Missouri,18.82708718953299,0.5089195574669438,0.49108044253305616,7.424558769078867,30.64382680109092,0,0.16544282271236976,0.1681446473760346,0.15067414519716354,0.1581118444797769,0.16883946081493914,0.11866971084535771,0.060980735723857545,0.00913663285050081,2.53,0.13949999999999999,0.1067045606699561,0.1751613149476039,0.30076369277761206,0.41737043160482795,"42,943",11.94,"72,996",40,54.86142857142857
Montana,29.60514729750698,0.496468800839225,0.5035311991607749,12.463161769922364,46.50670377120214,0,0.17908502405547094,0.17758698242595938,0.16150309209470676,0.16143996127976684,0.20013652038730756,0.07575566270257758,0.03339751632852224,0.011095240725688718,3.11,0.1986,0.10117499314551816,0.20611604460172264,0.32936175895237946,0.36334720330037973,"39,686",21.06,"22,133",15,44.0525
Nebraska,14.322349740322778,0.5009931898529016,0.49900681014709836,5.613626558690985,23.06573944481496,0,0.24470053728448002,0.12016886083657399,0.2139229059670118,0.2052537926231406,0.10917431025398405,0.07284881102791436,0.03393078200689518,0,2.2,0.11460000000000001,0.10233887321067041,0.20357711927459107,0.3361791866381595,0.357904820876579,"52,878",11.57,"22,234",22,49.74454545454545
Nevada,20.91367056932882,0.4984224688204523,0.5015775311795477,10.975111926065221,30.78971291086478,0,0.15134406196607433,0.1832835609681991,0.16526561794385677,0.16492557037049368,0.15433789574232967,0.119175228554007,0.054607394890129675,0.007060669564909754,3.43,0.1706,0.08105088202729338,0.15579645156586078,0.33852907206877153,0.4246235943380743,"43,649",25.64,"76,888",22,50.84375
New Hampshire,19.734955819764,0.5047576137831911,0.495242386216809,8.704812433422939,30.977024371098736,0,0.11205583169503536,0.10550305642035747,0.19001173575430655,0.2450522984706025,0.2615660920438085,0.08581098561588964,0,0,4.74,0.189,0.1376668359108477,0.22270405366424295,0.2881877141497715,0.3514413962751378,"50,456",46.76,"64,135",42,44.694
New Jersey,8.827797323545102,0.5117979347173839,0.4882020652826161,4.447751932602456,13.41953985080201,0,0.16244434655875625,0.16726355035961565,0.16478131975426502,0.18271196869638545,0.17379542043521806,0.11461252407388046,0.02464548336581272,0.00974538675606639,2.33,0.12210000000000001,0.14729223474410416,0.23362123945377605,0.23143310534794123,0.38765342045417855,"56,472",6.38,"57,507",45,54.1625
New Mexico,23.514537347885845,0.5047369101610578,0.4952630898389422,10.34228209570691,36.938762880217844,0,0.17637541563258796,0.17584712330168362,0.1534074855343331,0.153220992728028,0.17133013031418737,0.13147805216684058,0.028793491338687777,0.00954730898365163,2.16,0.1771,0.11761759660690634,0.15111860628388207,0.31689743274248533,0.41436636436672625,"41,577",46.73,"97,580",13,53.87315789473684
New York,8.544339302162246,0.5144708411574577,0.4855291588425423,3.946361987936275,13.41639531237581,0.06733647693180836,0.14976366262904717,0.17006718736726706,0.1427883993723149,0.15387017174943393,0.1505689706319974,0.1033603875206734,0.053326364459112076,0.008918379338345696,2.2,0.1474,0.1538580914205008,0.19903557688274537,0.2454664288183811,0.4016399028783727,"64,093",3.83,"76,207",39,46.174615384615386
North Carolina,14.805197763276276,0.5131671354979291,0.4868328645020708,6.506093250336069,23.55322609217589,0.0738907276740256,0.15415830084280813,0.15380024657480124,0.14486920580645046,0.15551329492537205,0.14834873004100002,0.11016409436290135,0.052419481564358175,0.006835918208282974,2.13,0.1223,0.1064426430945064,0.19215724888738994,0.30909215264986334,0.3923079553682403,"44,096",14.818,"152,238",50,58.80461538461538
North Dakota,20.386739088130284,0.4872880738900149,0.5127119261099852,7.878422359505996,32.274805770218876,0,0.1906002702181046,0.3675384417422634,0.15062407514636814,0.13596152608891462,0.15527568680434922,0,0,0,3.15,0.11019999999999999,0.07780386825681271,0.2111207233928608,0.3627366166141424,0.34833879173618404,"67,305",17.56,"13,272",17,41.538000000000004
Ohio,14.907438786222267,0.5099672696802852,0.49003273031971484,5.499949625843641,24.697624757137106,0.07578068792775139,0.15709747043788214,0.15616433442446875,0.14155565713067594,0.15571903228517375,0.16523578978869413,0.11484501025885942,0.02466328189213952,0.008938735854354942,2.02,0.1392,0.10235898151024005,0.17002769977751436,0.28996304583457466,0.43765027287767094,"46,826",14.87,"173,405",38,50.45131578947368
Oklahoma,19.232413026754422,0.504546074349049,0.49545392565095103,9.176615563338311,29.47274592541855,0,0.18054874330280588,0.1829153282894911,0.16199926310330065,0.15716216320417972,0.16471082839191237,0.11758531222058356,0.0264736341512395,0.008604727336487216,1.87,0.1218,0.08281848201362216,0.16561190027131517,0.31201086513819526,0.4395587525768674,"45,864",18.13,"71,269",33,59.86333333333333
Oregon,19.89004474294531,0.5044412249177846,0.4955587750822154,9.331094508674807,30.63825475928025,0,0.15201368092813472,0.174468687104049,0.16262270097281054,0.153195961344364,0.1627481213689012,0.12831011768118492,0.05755637082115289,0.009084359779402761,2.76,0.2738,0.12203028428283105,0.20067956824149655,0.34504225053101323,0.33224789694465917,"49,792",14.816,"61,383",28,51.038823529411765
Pennsylvania,15.844708425738023,0.5102642708384661,0.4897357291615338,7.070481992614866,24.986729288162046,0,0.15862281853173707,0.16253372144295386,0.14297988066601336,0.1635462189872695,0.17439502573884455,0.12313641111154211,0.06400651602184237,0.010779407499797144,2.34,0.13470000000000001,0.11833125833548748,0.182505241700018,0.24217616275935738,0.4569873372051371,"50,418",18.45,"236,377",41,48.902424242424246
Rhode Island,12.173957357175416,0.5139939167961919,0.4860060832038081,5.691749533643748,19.02945876724059,0,0.21561360511686292,0.21023657236222243,0.17445325909669265,0.1973134761705507,0.20238308725367127,0,0,0,2.59,0.21239999999999998,0.13147693349843198,0.19816636293453235,0.2648557923706327,0.4055009111964029,"47,118",3.98,"37,152",44,NA
South Carolina,16.67871129688126,0.51482723502195,0.48517276497804995,7.383976847559924,26.541553530047132,0,0.16911206450600047,0.17127830694911633,0.15548792571412395,0.1673733055722128,0.17174902780315685,0.13731717423363093,0.02768219522175868,0,2.19,0.11140000000000001,0.09832267911875177,0.17172805757515708,0.30115549039106015,0.428793772915031,"36,796",21.01,"105,601",48,61.63952380952381
South Dakota,21.962454551517478,0.4952545000034496,0.5047454999965504,8.590546683816804,35.08292327319118,0,0.1886873611011542,0.18451688916456532,0.16275438164493636,0.15737453518562963,0.18077967253379548,0.12588716036991898,0,0,2.86,0.1233,0.0832065357961488,0.1952676126684564,0.33097278832689686,0.390553063208498,"47,706",24.29,"21,130",18,45.93363636363636
Tennessee,17.346676227936218,0.5122135490495511,0.487786450950449,7.470891140685891,27.71701537805948,0,0.16732937003332257,0.17576497433935298,0.160139476640234,0.17108358044794167,0.16829147639769262,0.12398565321726142,0.025834685795710317,0.0075707831284843735,2.11,0.1355,0.0956045060232893,0.16492603467717626,0.2783974366131139,0.4610720226864205,"42,797",14.76,"99,159",52,57.8212
Texas,13.315858668323688,0.5031975372480144,0.4968024627519856,5.722188251849022,21.007278374813225,0.1578244377200997,0.15359700943452934,0.1599622305208077,0.14623024685294056,0.13628039964192173,0.12240198391230495,0.08029688581665968,0.03797567552069473,0.0054311305800416095,2.34,0.1067,0.09863501136187137,0.18842075115482138,0.29022441350279476,0.42271982398051244,"54,421",20.79,"588,696",27,65.40705882352941
Utah,21.374458263871716,0.4965273759096637,0.5034726240903362,10.648348045151593,31.952605129833874,0,0.23108654659071737,0.2131870088299912,0.1969326663068676,0.14798927314062643,0.13814000658078096,0.04488120571838172,0.020700564213414912,0.007082728619219795,1.36,0.1058,0.11006545846743426,0.21530557802523106,0.36410110780280996,0.31052785570452474,"44,204",23.48,"72,856",12,48.58222222222222
Vermont,17.79824486857359,0.5057283089903585,0.4942716910096415,9.194644278236277,26.60126647980899,0,0.2207759297072598,0.18109250045078193,0.1680515012256395,0.1998888883474091,0.2301911802689097,0,0,0,3.1,0.2434,0.1496962776889701,0.21829184745375657,0.2588810230646266,0.3731308517926467,"43,495",9.41,"5,872",39,44.7975
Virginia,13.884264736092712,0.5080617283076073,0.4919382716923927,6.018646650367521,22.00768132877436,0,0.16458858936338328,0.1737542750673236,0.1603352913495946,0.1684377258474272,0.1607375471485136,0.11134129733358938,0.05326898804227204,0.007536285847896293,2.12,0.1192,0.16064350488006457,0.2149215818644144,0.27189876715547995,0.3525361461000411,"51,716",36.34,"307,822",43,54.194
Washington,17.472926079125347,0.4999187792501036,0.5000812207498964,7.968084445488849,26.97468025283295,0,0.15535092511645826,0.1878901244177508,0.16362066736046407,0.15885287005288903,0.1609039948168659,0.11464018465840062,0.05075886403538198,0.007982369541789354,2.24,0.2321,0.12722651195707566,0.21740768843487257,0.3386900269706937,0.316675772637358,"55,780",12.4,"91,835",38,50.433157894736844
West Virginia,21.587602988561326,0.5051262296535465,0.49487377034645347,9.375984614663386,34.0522133938706,0,0.08719569625667152,0.16385498678209645,0.1659586278860606,0.18118386308587617,0.19876147561247504,0.1581401203943986,0.03442721659616613,0.010478013386255503,1.74,0.131,0.07884421391936862,0.1201416131687879,0.2546718045243552,0.5463423683874883,"36,453",19.42,"35,264",44,52.973333333333336
Wisconsin,15.960705949788826,0.5025888265050558,0.49741117349494424,6.797711437149493,25.21907991638505,0,0.17373150018816946,0.16247887814572892,0.15420919733177052,0.16889374579840052,0.18113542379892572,0.12272313853314915,0.026930669665529355,0.009897446538326363,2.99,0.12710000000000002,0.09879380195996945,0.19151694962096474,0.31392087037874866,0.39576837804031717,"46,859",11.19,"64,878",31,45.232727272727274
Wyoming,27.10097270051699,0.49002183613405487,0.5099781638659451,10.215692007453933,43.32550315125339,0,0.1773148546410283,0.18723937935499643,0.16858109178827077,0.15462246510343328,0.18441414969189604,0.12782805942037515,0,0,2.68,0.1219,0.09303761801465196,0.1744596865294107,0.3729610387605277,0.3595416566954096,"60,908",NA,NA,13,43.48125
